seasonStartYear,awayTeam,pointsAway,homeTeam,pointsHome,attendance,notes,startET,datetime,isRegular,game_id
1996,Sacramento Kings,98,Toronto Raptors,87,15037,,,11/26/1996,1,179
1996,Los Angeles Lakers,100,Philadelphia 76ers,88,20652,,,11/26/1996,1,180
1996,Miami Heat,107,Golden State Warriors,88,15026,,,11/26/1996,1,181
1996,San Antonio Spurs,101,Dallas Mavericks,105,14567,,,11/26/1996,1,182
1996,Seattle SuperSonics,89,Charlotte Hornets,97,24042,,,11/26/1996,1,183
1996,Vancouver Grizzlies,80,Atlanta Hawks,101,6957,,,11/26/1996,1,184
1996,Phoenix Suns,108,Denver Nuggets,117,9226,,,11/26/1996,1,185
1996,Denver Nuggets,103,Utah Jazz,107,19324,,,11/27/1996,1,186
1996,Portland Trail Blazers,120,San Antonio Spurs,109,13797,,,11/27/1996,1,187
1996,New Jersey Nets,77,Phoenix Suns,99,19023,,,11/27/1996,1,188
1996,Atlanta Hawks,75,Orlando Magic,79,17248,,,11/27/1996,1,189
1996,Seattle SuperSonics,106,Minnesota Timberwolves,98,16173,,,11/27/1996,1,190
1996,Charlotte Hornets,88,Toronto Raptors,92,15710,,,11/27/1996,1,191
1996,Cleveland Cavaliers,75,Milwaukee Bucks,92,14189,,,11/27/1996,1,192
1996,Miami Heat,98,Los Angeles Clippers,82,7006,,,11/27/1996,1,193
1996,Vancouver Grizzlies,78,Detroit Pistons,87,15195,,,11/27/1996,1,194
1996,Los Angeles Lakers,94,Boston Celtics,110,18624,,,11/27/1996,1,195
1996,New Jersey Nets,118,Golden State Warriors,124,15209,,,11/28/1996,1,196
1996,Sacramento Kings,83,Indiana Pacers,101,14732,,,11/28/1996,1,197
1996,Golden State Warriors,93,Portland Trail Blazers,119,21068,,,11/29/1996,1,198
1996,Washington Bullets,81,Atlanta Hawks,110,12457,,,11/29/1996,1,199
1996,Houston Rockets,120,Boston Celtics,94,18624,,,11/29/1996,1,200
1996,Chicago Bulls,116,Dallas Mavericks,97,18042,,,11/29/1996,1,201
1996,Minnesota Timberwolves,108,Denver Nuggets,103,12129,,,11/29/1996,1,202
1996,Los Angeles Lakers,84,Detroit Pistons,76,21454,,,11/29/1996,1,203
1996,Vancouver Grizzlies,94,Indiana Pacers,104,15488,,,11/29/1996,1,204
1996,Orlando Magic,91,Philadelphia 76ers,100,15489,,,11/29/1996,1,205
1996,Los Angeles Clippers,94,Utah Jazz,111,19381,,,11/29/1996,1,206
1996,Phoenix Suns,92,Seattle SuperSonics,105,17072,,,11/29/1996,1,207
1996,Chicago Bulls,97,San Antonio Spurs,88,37058,,,11/30/1996,1,208
1996,Houston Rockets,103,Washington Bullets,99,18756,,,11/30/1996,1,209
1996,Vancouver Grizzlies,90,Philadelphia 76ers,96,13038,,,11/30/1996,1,210
1996,New Jersey Nets,106,Los Angeles Clippers,95,11519,"at Anaheim, CA",,11/30/1996,1,211
1996,Toronto Raptors,70,Minnesota Timberwolves,79,18679,,,11/30/1996,1,212
1996,Orlando Magic,86,Cleveland Cavaliers,82,19351,,,11/30/1996,1,213
1996,Boston Celtics,77,Miami Heat,78,15112,,,11/30/1996,1,214
1996,Sacramento Kings,101,New York Knicks,115,19763,,,11/30/1996,1,215
1996,Charlotte Hornets,94,Milwaukee Bucks,87,16327,,,11/30/1996,1,216
1996,Sacramento Kings,66,Detroit Pistons,95,14063,,,12/1/1996,1,217
1996,Portland Trail Blazers,70,Golden State Warriors,98,12510,,,12/1/1996,1,218
1996,Denver Nuggets,96,Los Angeles Lakers,104,15684,,,12/1/1996,1,219
1996,Utah Jazz,96,Seattle SuperSonics,90,17072,,,12/1/1996,1,220
1996,Charlotte Hornets,97,Utah Jazz,107,19410,,,12/2/1996,1,221
1996,Dallas Mavericks,108,Orlando Magic,102,16753,,,12/2/1996,1,222
1996,Houston Rockets,89,Toronto Raptors,100,17108,,,12/2/1996,1,223
1996,Boston Celtics,95,Atlanta Hawks,105,7364,,,12/3/1996,1,224
1996,Toronto Raptors,74,Cleveland Cavaliers,93,13494,,,12/3/1996,1,225
1996,Denver Nuggets,99,Golden State Warriors,114,12347,,,12/3/1996,1,226
1996,Charlotte Hornets,89,Los Angeles Clippers,96,5755,,,12/3/1996,1,227
1996,Seattle SuperSonics,106,Los Angeles Lakers,110,17505,,,12/3/1996,1,228
1996,Chicago Bulls,107,Milwaukee Bucks,104,18717,,,12/3/1996,1,229
1996,Sacramento Kings,96,Minnesota Timberwolves,89,11191,,,12/3/1996,1,230
1996,Miami Heat,99,New York Knicks,75,19763,,,12/3/1996,1,231
1996,Indiana Pacers,98,Portland Trail Blazers,93,20083,,,12/3/1996,1,232
1996,Indiana Pacers,127,Vancouver Grizzlies,80,15699,,,12/4/1996,1,233
1996,Los Angeles Lakers,75,Utah Jazz,101,19911,,,12/4/1996,1,234
1996,Philadelphia 76ers,103,San Antonio Spurs,113,12968,,,12/4/1996,1,235
1996,Cleveland Cavaliers,84,Orlando Magic,57,16632,,,12/4/1996,1,236
1996,New York Knicks,109,New Jersey Nets,102,20049,,,12/4/1996,1,237
1996,Dallas Mavericks,79,Miami Heat,101,14658,,,12/4/1996,1,238
1996,Boston Celtics,89,Houston Rockets,94,16285,,,12/4/1996,1,239
1996,Atlanta Hawks,90,Detroit Pistons,100,14574,,,12/4/1996,1,240
1996,Golden State Warriors,87,Phoenix Suns,118,19023,,,12/4/1996,1,241
1996,Los Angeles Clippers,96,Chicago Bulls,114,23687,,,12/5/1996,1,242
1996,Philadelphia 76ers,102,Dallas Mavericks,106,13443,,,12/5/1996,1,243
1996,Portland Trail Blazers,115,Denver Nuggets,104,9679,,,12/5/1996,1,244
1996,Minnesota Timberwolves,86,Seattle SuperSonics,117,17072,,,12/5/1996,1,245
1996,Washington Bullets,80,Toronto Raptors,82,15222,,,12/5/1996,1,246
1996,Phoenix Suns,101,Sacramento Kings,95,17317,,,12/6/1996,1,247
1996,Minnesota Timberwolves,95,Utah Jazz,106,19911,,,12/6/1996,1,248
1996,Charlotte Hornets,93,Portland Trail Blazers,97,20034,,,12/6/1996,1,249
1996,Vancouver Grizzlies,105,San Antonio Spurs,89,13646,,,12/6/1996,1,250
1996,Orlando Magic,81,Los Angeles Lakers,92,17505,,,12/6/1996,1,251
1996,Indiana Pacers,86,Golden State Warriors,71,14164,,,12/6/1996,1,252
1996,Cleveland Cavaliers,81,Detroit Pistons,93,17806,,,12/6/1996,1,253
1996,New York Knicks,103,Miami Heat,85,15200,,,12/6/1996,1,254
1996,New Jersey Nets,110,Boston Celtics,108,15815,,,12/6/1996,1,255
1996,Milwaukee Bucks,126,Washington Bullets,118,18756,,,12/7/1996,1,256
1996,Charlotte Hornets,94,Seattle SuperSonics,92,17072,,,12/7/1996,1,257
1996,Los Angeles Clippers,80,New York Knicks,89,19763,,,12/7/1996,1,258
1996,Utah Jazz,104,Denver Nuggets,91,12837,,,12/7/1996,1,259
1996,Philadelphia 76ers,108,Houston Rockets,123,16285,,,12/7/1996,1,260
1996,Vancouver Grizzlies,85,Dallas Mavericks,96,15102,,,12/7/1996,1,261
1996,Miami Heat,83,Chicago Bulls,80,23861,,,12/7/1996,1,262
1996,Detroit Pistons,95,New Jersey Nets,69,12018,,,12/7/1996,1,263
1996,Toronto Raptors,75,Atlanta Hawks,101,11422,,,12/7/1996,1,264
1996,Los Angeles Clippers,69,Cleveland Cavaliers,90,13732,,,12/8/1996,1,265
1996,San Antonio Spurs,88,Golden State Warriors,114,13057,,,12/8/1996,1,266
1996,Minnesota Timberwolves,86,Los Angeles Lakers,110,15212,,,12/8/1996,1,267
1996,Boston Celtics,87,Milwaukee Bucks,100,13350,,,12/8/1996,1,268
1996,Indiana Pacers,93,Phoenix Suns,106,19023,,,12/8/1996,1,269
1996,Orlando Magic,84,Sacramento Kings,91,17317,,,12/8/1996,1,270
1996,Chicago Bulls,89,Toronto Raptors,97,33385,,,12/8/1996,1,271
1996,Charlotte Hornets,107,Vancouver Grizzlies,91,15780,,,12/9/1996,1,272
1996,Seattle SuperSonics,118,Philadelphia 76ers,94,15505,,,12/9/1996,1,273
1996,Miami Heat,76,Cleveland Cavaliers,74,14361,,,12/10/1996,1,274
1996,Denver Nuggets,88,Atlanta Hawks,89,6356,,,12/10/1996,1,275
1996,Golden State Warriors,101,Toronto Raptors,91,15132,,,12/10/1996,1,276
1996,Los Angeles Lakers,92,Sacramento Kings,90,17317,,,12/10/1996,1,277
1996,Orlando Magic,99,Portland Trail Blazers,93,20089,,,12/10/1996,1,278
1996,Indiana Pacers,86,Utah Jazz,110,19911,,,12/10/1996,1,279
1996,Washington Bullets,73,New York Knicks,85,19763,,,12/10/1996,1,280
1996,Detroit Pistons,93,Milwaukee Bucks,85,13202,,,12/10/1996,1,281
1996,Dallas Mavericks,100,Los Angeles Clippers,95,5174,,,12/10/1996,1,282
1996,San Antonio Spurs,76,Phoenix Suns,93,19023,,,12/10/1996,1,283
1996,Houston Rockets,96,Minnesota Timberwolves,94,14627,,,12/10/1996,1,284
1996,Toronto Raptors,113,Boston Celtics,115,14760,,,12/11/1996,1,285
1996,Denver Nuggets,97,Charlotte Hornets,101,24042,,,12/11/1996,1,286
1996,Minnesota Timberwolves,86,Chicago Bulls,103,23505,,,12/11/1996,1,287
1996,Indiana Pacers,76,Los Angeles Lakers,79,16139,,,12/11/1996,1,288
1996,Seattle SuperSonics,101,New Jersey Nets,110,14279,,,12/11/1996,1,289
1996,Miami Heat,84,Philadelphia 76ers,79,13201,,,12/11/1996,1,290
1996,Cleveland Cavaliers,95,Washington Bullets,106,11275,,,12/11/1996,1,291
1996,Phoenix Suns,95,Utah Jazz,87,19911,,,12/12/1996,1,292
1996,Dallas Mavericks,86,Sacramento Kings,93,17317,,,12/12/1996,1,293
1996,Detroit Pistons,96,Houston Rockets,115,16285,,,12/12/1996,1,294
1996,Golden State Warriors,79,New York Knicks,90,19763,,,12/12/1996,1,295
1996,Vancouver Grizzlies,78,Portland Trail Blazers,99,20042,,,12/12/1996,1,296
1996,San Antonio Spurs,94,Los Angeles Clippers,97,11349,,,12/12/1996,1,297
1996,Seattle SuperSonics,97,Milwaukee Bucks,100,16355,,,12/12/1996,1,298
1996,Golden State Warriors,87,Cleveland Cavaliers,101,15410,,,12/13/1996,1,299
1996,Denver Nuggets,104,Washington Bullets,108,18756,,,12/13/1996,1,300
1996,Orlando Magic,93,Vancouver Grizzlies,95,15954,,,12/13/1996,1,301
1996,Chicago Bulls,113,New Jersey Nets,92,20049,,,12/13/1996,1,302
1996,Philadelphia 76ers,75,Charlotte Hornets,84,24042,,,12/13/1996,1,303
1996,Portland Trail Blazers,119,Los Angeles Lakers,120,16315,,,12/13/1996,1,304
1996,Boston Celtics,94,Indiana Pacers,97,15569,,,12/13/1996,1,305
1996,Phoenix Suns,105,Minnesota Timberwolves,108,17097,,,12/13/1996,1,306
1996,Houston Rockets,109,Seattle SuperSonics,100,17072,,,12/14/1996,1,307
1996,Dallas Mavericks,105,San Antonio Spurs,106,16548,,,12/14/1996,1,308
1996,Cleveland Cavaliers,101,Minnesota Timberwolves,93,14873,,,12/14/1996,1,309
1996,Orlando Magic,68,Utah Jazz,101,19911,,,12/14/1996,1,310
1996,Toronto Raptors,88,Miami Heat,89,14712,,,12/14/1996,1,311
1996,Sacramento Kings,94,Los Angeles Clippers,106,7269,,,12/14/1996,1,312
1996,Charlotte Hornets,82,Chicago Bulls,87,23771,,,12/14/1996,1,313
1996,Philadelphia 76ers,81,Atlanta Hawks,106,12473,,,12/14/1996,1,314
1996,New Jersey Nets,91,Milwaukee Bucks,101,16689,,,12/14/1996,1,315
1996,Denver Nuggets,82,New York Knicks,89,19763,,,12/14/1996,1,316
1996,Boston Celtics,89,Detroit Pistons,99,18545,,,12/15/1996,1,317
1996,Washington Bullets,110,Golden State Warriors,102,16005,,,12/15/1996,1,318
1996,Vancouver Grizzlies,84,Phoenix Suns,103,19023,,,12/15/1996,1,319
1996,Houston Rockets,99,Portland Trail Blazers,89,21318,,,12/15/1996,1,320
1996,Milwaukee Bucks,107,Boston Celtics,91,15030,,,12/16/1996,1,321
1996,Phoenix Suns,121,Los Angeles Clippers,122,12049,"at Anaheim, CA",,12/16/1996,1,322
1996,Washington Bullets,97,Sacramento Kings,89,17317,,,12/16/1996,1,323
1996,Detroit Pistons,98,Toronto Raptors,92,16546,,,12/16/1996,1,324
1996,Golden State Warriors,83,Seattle SuperSonics,123,17072,,,12/17/1996,1,325
1996,Houston Rockets,92,Vancouver Grizzlies,93,16205,,,12/17/1996,1,326
